code,name,sortorder,Mainpanel,uoanumber,uoaname,Profile,FTE,VeryGood,Good,Average,BelowAverage,unclassified,TOWN,LONGITUDE,LATITUDE,HWVeryGood,HWGood,HWAverage,HWBelowAverage,HWunclassified
10000291,Anglia Ruskin University,10,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Outputs,11.3,6.4,68.1,25.5,0,0,CHELMSFORD,0.474311,51.741266,,,,,
10000291,Anglia Ruskin University,10,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Impact,11.3,20,80,0,0,0,CHELMSFORD,0.474311,51.741266,,,,,
10000291,Anglia Ruskin University,10,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Environment,11.3,12.5,75,12.5,0,0,CHELMSFORD,0.474311,51.741266,,,,,
10000291,Anglia Ruskin University,10,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Overall,11.3,10,72,18,0,0,CHELMSFORD,0.474311,51.741266,,,,,
10000291,Anglia Ruskin University,10,A,4,"Psychology, Psychiatry and Neuroscience",Outputs,13.7,10.3,61.5,25.6,2.6,0,CHELMSFORD,0.474311,51.741266,6.4,31.9,55.3,4.3,2.1
10000291,Anglia Ruskin University,10,A,4,"Psychology, Psychiatry and Neuroscience",Impact,13.7,0,0,20,80,0,CHELMSFORD,0.474311,51.741266,80,20,0,0,0
10000291,Anglia Ruskin University,10,A,4,"Psychology, Psychiatry and Neuroscience",Environment,13.7,0,37.5,62.5,0,0,CHELMSFORD,0.474311,51.741266,0,75,25,0,0
10000291,Anglia Ruskin University,10,A,4,"Psychology, Psychiatry and Neuroscience",Overall,13.7,7,45,30,18,0,CHELMSFORD,0.474311,51.741266,20,36,40,3,1
10000291,Anglia Ruskin University,10,A,5,Biological Sciences,Outputs,7.25,0,34.8,39.1,4.4,21.7,CHELMSFORD,0.474311,51.741266,,,,,
10000291,Anglia Ruskin University,10,A,5,Biological Sciences,Impact,7.25,0,10,70,20,0,CHELMSFORD,0.474311,51.741266,,,,,
10000291,Anglia Ruskin University,10,A,5,Biological Sciences,Environment,7.25,0,0,0,87.5,12.5,CHELMSFORD,0.474311,51.741266,,,,,
10000291,Anglia Ruskin University,10,A,5,Biological Sciences,Overall,7.25,0,25,39,20,16,CHELMSFORD,0.474311,51.741266,,,,,
10000291,Anglia Ruskin University,10,B,15,General Engineering,Outputs,8,0,31,65.6,3.4,0,CHELMSFORD,0.474311,51.741266,21,70,8.4,0.3,0.3
10000291,Anglia Ruskin University,10,B,15,General Engineering,Impact,8,0,70,30,0,0,CHELMSFORD,0.474311,51.741266,60,38.1,1.9,0,0
10000291,Anglia Ruskin University,10,B,15,General Engineering,Environment,8,0,0,75,25,0,CHELMSFORD,0.474311,51.741266,70,30,0,0,0
10000291,Anglia Ruskin University,10,B,15,General Engineering,Overall,8,0,34,60,6,0,CHELMSFORD,0.474311,51.741266,36,58,6,0,0
10000291,Anglia Ruskin University,10,C,16,"Architecture, Built Environment and Planning",Outputs,8,12.5,29.2,41.6,16.7,0,CHELMSFORD,0.474311,51.741266,23.1,42,28.6,6.3,0
10000291,Anglia Ruskin University,10,C,16,"Architecture, Built Environment and Planning",Impact,8,0,0,50,50,0,CHELMSFORD,0.474311,51.741266,55.7,21.4,22.9,0,0
10000291,Anglia Ruskin University,10,C,16,"Architecture, Built Environment and Planning",Environment,8,0,12.5,50,37.5,0,CHELMSFORD,0.474311,51.741266,62.5,37.5,0,0,0
10000291,Anglia Ruskin University,10,C,16,"Architecture, Built Environment and Planning",Overall,8,8,21,45,26,0,CHELMSFORD,0.474311,51.741266,36,37,23,4,0
10000291,Anglia Ruskin University,10,C,17,"Geography, Environmental Studies and Archaeology",Outputs,17.5,12.5,43.1,40.2,4.2,0,CHELMSFORD,0.474311,51.741266,,,,,
10000291,Anglia Ruskin University,10,C,17,"Geography, Environmental Studies and Archaeology",Impact,17.5,23.3,36.7,40,0,0,CHELMSFORD,0.474311,51.741266,,,,,
10000291,Anglia Ruskin University,10,C,17,"Geography, Environmental Studies and Archaeology",Environment,17.5,0,37.5,62.5,0,0,CHELMSFORD,0.474311,51.741266,,,,,
10000291,Anglia Ruskin University,10,C,17,"Geography, Environmental Studies and Archaeology",Overall,17.5,13,41,43,3,0,CHELMSFORD,0.474311,51.741266,,,,,
10000291,Anglia Ruskin University,10,C,19,Business and Management Studies,Outputs,14.2,6.8,47.7,36.4,4.6,4.5,CHELMSFORD,0.474311,51.741266,8.4,44.5,41.2,5.1,0.8
